1522809800,214
1522809810,2067
1522809820,1155
1522809830,421
1522809840,275
1522809850,88
1522809860,72
1522809870,42
1522809880,25
1522809890,4
1522809900,3
1522809910,3
1522809920,3
1522809930,3
1522809940,7
1522809950,6
1522809960,5
1522809970,4
1522809980,3
1522809990,3
1522810000,3
1522810010,3
1522810020,3
1522810030,3
1522810040,3
1522810050,3
1522810060,3
1522810070,3
1522810080,3
1522810090,3
1522810100,3
1522810110,3
1522810120,3
1522810130,3
1522810140,3
1522810150,4
1522810160,4
1522810170,3
1522810180,3
1522810190,3
1522810200,3
1522810210,4
1522810220,3
1522810230,3
1522810240,3
1522810250,3
1522810260,3
1522810270,3
1522810280,3
1522810290,3
1522810300,4
1522810310,3
1522810320,3
1522810330,3
1522810340,3
1522810350,3
1522810360,4
1522810370,3
1522810380,3
1522810390,3
1522810400,3
1522810410,3
1522810420,3
1522810430,3
1522810440,3
1522810450,3
1522810460,3
1522810470,3
1522810480,3
1522810490,3
1522810500,4
1522810510,5
1522810520,3
1522810530,3
1522810540,5
1522810550,3
1522810560,3
1522810570,3
1522810580,3
1522810590,3
1522810600,3
1522810610,3
1522810620,3
1522810630,4
1522810640,3
1522810650,3
1522810660,3
1522810670,3
1522810680,3
1522810690,3
1522810700,3
1522810710,3
1522810720,3
1522810730,3
1522810740,3
1522810750,18
1522810760,12
1522810770,3
1522810780,3
1522810790,3
1522810800,3
1522810810,4
1522810820,3
1522810830,3
1522810840,3
1522810850,3
1522810860,3
1522810870,4
1522810880,4
1522810890,3
1522810900,3
1522810910,3
1522810920,3
1522810930,3
1522810940,3
1522810950,3
1522810960,3
1522810970,3
1522810980,3
1522810990,3
1522811000,3
1522811010,3
1522811020,3
1522811030,3
1522811040,3
1522811050,3
1522811060,3
1522811070,3
1522811080,3
1522811090,3
1522811100,3
1522811110,3
1522811120,3
1522811130,3
1522811140,3
1522811150,3
1522811160,3
1522811170,3
1522811180,3
1522811190,3
1522811200,3
1522811210,3
1522811220,3
1522811230,3
1522811240,3
1522811250,3
1522811260,3
1522811270,3
1522811280,3
1522811290,3
1522811300,3
1522811310,3
1522811320,3
1522811330,3
1522811340,3
1522811350,3
1522811360,3
1522811370,3
1522811380,3
1522811390,3
1522811400,3
1522811410,4
1522811420,4
1522811430,3
1522811440,3
1522811450,3
1522811460,3
1522811470,3
1522811480,3
1522811490,3
1522811500,3
1522811510,3
1522811520,3
1522811530,3
1522811540,3
1522811550,3
1522811560,3
1522811570,3
1522811580,3
1522811590,3
1522811600,3
1522811610,3
1522811620,3
1522811630,3
1522811640,3
1522811650,3
1522811660,3
1522811670,3
1522811680,3
1522811690,3
1522811700,3
1522811710,3
1522811720,3
1522811730,3
1522811740,3
1522811750,3
1522811760,3
1522811770,3
1522811780,3
1522811790,3
1522811800,3
1522811810,3
1522811820,3
1522811830,3
1522811840,3
1522811850,3
1522811860,3
1522811870,3
1522811880,3
1522811890,3
1522811900,3
1522811910,3
1522811920,3
1522811930,3
1522811940,3
1522811950,3
1522811960,3
1522811970,3
1522811980,3
1522811990,3
1522812000,3
1522812010,3
1522812020,3
1522812030,3
1522812040,3
1522812050,3
1522812060,3
1522812070,3
1522812080,3
1522812090,3
1522812100,3
1522812110,3
1522812120,3
1522812130,3
1522812140,3
1522812150,3
1522812160,3
1522812170,3
1522812180,3
1522812190,3
1522812200,3
1522812210,3
1522812220,3
1522812230,4
